Types,Subtype,FTA Type,Category,Class,Type,ESL Category,Subtype,
Revenue Vehicles,,Articulated Bus (AB),Revenue Vehicles,Buses (Rubber Tire Vehicles),Articulated Bus (AB),Heavy-Duty Large Bus,,TRUE
Revenue Vehicles,,Automobile (AO),Revenue Vehicles,Buses (Rubber Tire Vehicles),Automobile (AO),"Light Duty Small Bus, Cutaways, and Modified Van",,TRUE
Revenue Vehicles,,Over-the-road Bus (BR),Revenue Vehicles,Buses (Rubber Tire Vehicles),Over-the-road Bus (BR),Heavy-Duty Large Bus,,TRUE
Revenue Vehicles,,Bus (BU),Revenue Vehicles,Buses (Rubber Tire Vehicles),Bus (BU),Heavy-Duty Large Bus,,TRUE
Revenue Vehicles,,Cutaway Bus (CU),Revenue Vehicles,Buses (Rubber Tire Vehicles),Cutaway Bus (CU),Light Duty Mid-Sized Bus,,TRUE
Revenue Vehicles,,Double Decked Bus (DB),Revenue Vehicles,Buses (Rubber Tire Vehicles),Double Decked Bus (DB),Heavy-Duty Large Bus,,TRUE
Revenue Vehicles,,Minivan (MV),Revenue Vehicles,Buses (Rubber Tire Vehicles),Minivan (MV),"Light Duty Small Bus, Cutaways, and Modified Van",,TRUE
Revenue Vehicles,,Minibus (MB),Revenue Vehicles,Buses (Rubber Tire Vehicles),Minibus (MB),Medium-Duty and Purpose-Built Bus,,TRUE
Revenue Vehicles,,Rubber-tired Vintage Trolley (RT),Revenue Vehicles,Buses (Rubber Tire Vehicles),Rubber-tired Vintage Trolley (RT),Heavy-Duty Small Bus,,TRUE
Revenue Vehicles,,School Bus (SB),Revenue Vehicles,Buses (Rubber Tire Vehicles),School Bus (SB),Heavy-Duty Small Bus,,TRUE
Revenue Vehicles,,Sports Utility Vehicle (SV),Revenue Vehicles,Buses (Rubber Tire Vehicles),Sports Utility Vehicle (SV),"Light Duty Small Bus, Cutaways, and Modified Van",,TRUE
Revenue Vehicles,,Trolleybus (TB),Revenue Vehicles,Buses (Rubber Tire Vehicles),Trolleybus (TB),Electric Trolley-Bus,,TRUE
Revenue Vehicles,,Van (VN),Revenue Vehicles,Buses (Rubber Tire Vehicles),Van (VN),Light Duty Mid-Sized Bus,,TRUE
Revenue Vehicles,,Ferryboat (FB),Revenue Vehicles,Ferries,Ferryboat (FB),Ferry,,TRUE
Rail Cars,,Aerial Tramway (AT),Revenue Vehicles,Other Passenger Vehicles,Aerial Tramway (AT),Rail Vehicle,,TRUE
Rail Cars,,Automated Guideway Vehicle (AG),Revenue Vehicles,Other Passenger Vehicles,Automated Guideway Vehicle (AG),Rail Vehicle,,TRUE
Rail Cars,,Cable Car (CC),Revenue Vehicles,Other Passenger Vehicles,Cable Car (CC),Rail Vehicle,,TRUE
Rail Cars,,Inclined Plane Vehicle (IP),Revenue Vehicles,Other Passenger Vehicles,Inclined Plane Vehicle (IP),Rail Vehicle,,TRUE
Rail Cars,,Monorail Vehicle (MO),Revenue Vehicles,Other Passenger Vehicles,Monorail Vehicle (MO),Rail Vehicle,,TRUE
Rail Cars,,Heavy Rail Passenger Car (HR),Revenue Vehicles,Rail Cars,Heavy Rail Passenger Car (HR),Rail Vehicle,,TRUE
Rail Cars,,Light Rail Vehicle (LR),Revenue Vehicles,Rail Cars,Light Rail Vehicle (LR),Steel-Wheel Trolley,,TRUE
Locomotives,,Commuter Rail Locomotive (RL),Revenue Vehicles,Rail Cars,Commuter Rail Locomotive (RL),Rail Vehicle,,TRUE
Rail Cars,,Commuter Rail Passenger Coach (RP),Revenue Vehicles,Rail Cars,Commuter Rail Passenger Coach (RP),Rail Vehicle,,TRUE
Rail Cars,,Commuter Rail Self-Propelled Passenger Car (RS),Revenue Vehicles,Rail Cars,Commuter Rail Self-Propelled Passenger Car (RS),Rail Vehicle,,TRUE
Rail Cars,,Streetcar (SR),Revenue Vehicles,Rail Cars,Streetcar (SR),Steel-Wheel Trolley,,TRUE
